ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype
2023-07-28 12:15:00,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,5000,12.9,64500.0,-64500.0,B
2023-07-28 12:15:00,IEX,IEX31AUG23C123,148604,OPTSTK,3750,15000,6.05,90750.0,-90750.0,B
2023-07-28 12:15:00,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,4000,21.2,84800.0,-84800.0,B
2023-07-28 12:15:00,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,21300,3.95,84135.0,-84135.0,B
2023-07-28 12:15:00,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,5000,19.95,99750.0,-99750.0,B
2023-07-28 12:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,118.1,70860.0,-70860.0,B
2023-07-28 12:16:00,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,5000,12.9,64500.0,64500.0,S
2023-07-28 12:16:00,IEX,IEX31AUG23C123,148604,OPTSTK,3750,15000,6.05,90750.0,90750.0,S
2023-07-28 12:16:00,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,4000,21.2,84800.0,84800.0,S
2023-07-28 13:01:00,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,21300,4.35,92655.0,92655.0,S
2023-07-28 13:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,125.95,75570.0,-75570.0,B
2023-07-28 13:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.0,97200.0,-97200.0,B
2023-07-28 13:22:00,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,5000,21.6,108000.0,108000.0,S
2023-07-28 14:14:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.25,99900.0,99900.0,S
2023-07-28 14:15:00,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,21300,4.1,87329.99999999999,-87329.99999999999,B
2023-07-28 14:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,132.65,79590.0,-79590.0,B
2023-07-28 14:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.25,99900.0,-99900.0,B
2023-07-28 14:27:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,10.1,109080.0,109080.0,S
2023-07-28 15:15:00,SUNTV,SUNTV31AUG23C545,143210,OPTSTK,1500,3000,24.05,72150.0,-72150.0,B
2023-07-28 15:15:00,LALPATHLAB,LALPATHLAB31AUG23P2360,133208,OPTSTK,300,600,118.65,71190.0,-71190.0,B
2023-07-28 15:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,8100,9.6,77760.0,-77760.0,B
2023-07-28 15:26:00,SUNTV,SUNTV31AUG23C545,143210,OPTSTK,1500,3000,23.6,70800.0,70800.0,S
2023-07-28 15:26:00,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,21300,3.75,79875.0,79875.0,S
2023-07-28 15:26:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,1800,127.0,228600.0,228600.0,S
2023-07-28 15:26:00,LALPATHLAB,LALPATHLAB31AUG23P2360,133208,OPTSTK,300,600,110.4,66240.0,66240.0,S
2023-07-28 15:26:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,8100,9.65,78165.0,78165.0,S
