ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype
2023-08-02 12:15:00,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,10200,8.0,81600.0,-81600.0,B
2023-08-02 12:15:00,OBEROIRLTY,OBEROIRLTY31AUG23C1100,137806,OPTSTK,700,2100,45.85,96285.0,-96285.0,B
2023-08-02 12:15:00,ESCORTS,ESCORTS31AUG23C2620,113750,OPTSTK,275,825,91.5,75487.5,-75487.5,B
2023-08-02 12:15:00,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,62.5,76312.5,-76312.5,B
2023-08-02 12:15:00,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.0,90000.0,-90000.0,B
2023-08-02 12:15:00,TATASTEEL,TATASTEEL31AUG23P120,84828,OPTSTK,5500,27500,3.2,88000.0,-88000.0,B
2023-08-02 12:15:00,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,10800,8.4,90720.0,-90720.0,B
2023-08-02 12:15:00,CIPLA,CIPLA31AUG23P1160,106398,OPTSTK,650,3900,25.5,99450.0,-99450.0,B
2023-08-02 12:15:00,CUMMINSIND,CUMMINSIND31AUG23P1900,111205,OPTSTK,600,1200,63.9,76680.0,-76680.0,B
2023-08-02 12:16:00,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,10200,8.0,81600.0,81600.0,S
2023-08-02 12:16:00,OBEROIRLTY,OBEROIRLTY31AUG23C1100,137806,OPTSTK,700,2100,45.85,96285.0,96285.0,S
2023-08-02 12:16:00,ESCORTS,ESCORTS31AUG23C2620,113750,OPTSTK,275,825,91.0,75075.0,75075.0,S
2023-08-02 12:16:00,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,62.5,76312.5,76312.5,S
2023-08-02 12:57:00,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.3,99000.0,99000.0,S
2023-08-02 13:15:00,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,68.25,83333.25,-83333.25,B
2023-08-02 13:15:00,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.3,99000.0,-99000.0,B
2023-08-02 13:15:00,HINDPETRO,HINDPETRO31AUG23P277.5,128474,OPTSTK,2700,10800,9.25,99900.0,-99900.0,B
2023-08-02 13:16:00,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,67.0,81807.0,81807.0,S
2023-08-02 13:23:00,TATASTEEL,TATASTEEL31AUG23P120,84828,OPTSTK,5500,27500,3.3,90750.0,90750.0,S
2023-08-02 13:31:00,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,10800,9.15,98820.0,98820.0,S
2023-08-02 13:34:00,HINDPETRO,HINDPETRO31AUG23P277.5,128474,OPTSTK,2700,10800,10.5,113400.0,113400.0,S
2023-08-02 13:51:00,CIPLA,CIPLA31AUG23P1160,106398,OPTSTK,650,3900,25.95,101205.0,101205.0,S
2023-08-02 14:15:00,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,30000,3.25,97500.0,-97500.0,B
2023-08-02 14:15:00,TATASTEEL,TATASTEEL31AUG23P118.4,144908,OPTSTK,5500,27500,3.2,88000.0,-88000.0,B
2023-08-02 14:15:00,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,8100,9.3,75330.0,-75330.0,B
2023-08-02 15:15:00,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,44.95,94395.0,-94395.0,B
2023-08-02 15:15:00,PVRINOX,PVRINOX31AUG23C1620,140499,OPTSTK,407,1628,58.0,94424.0,-94424.0,B
2023-08-02 15:15:00,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,30000,2.75,82500.0,-82500.0,B
2023-08-02 15:15:00,TATASTEEL,TATASTEEL31AUG23P119,84826,OPTSTK,5500,33000,2.95,97350.0,-97350.0,B
2023-08-02 15:26:00,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,44.8,94080.0,94080.0,S
2023-08-02 15:26:00,PVRINOX,PVRINOX31AUG23C1620,140499,OPTSTK,407,1628,59.0,96052.0,96052.0,S
2023-08-02 15:26:00,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.45,103500.0,103500.0,S
2023-08-02 15:26:00,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,60000,2.85,171000.0,171000.0,S
2023-08-02 15:26:00,TATASTEEL,TATASTEEL31AUG23P118.4,144908,OPTSTK,5500,27500,2.75,75625.0,75625.0,S
2023-08-02 15:26:00,TATASTEEL,TATASTEEL31AUG23P119,84826,OPTSTK,5500,33000,3.05,100650.0,100650.0,S
2023-08-02 15:26:00,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,8100,7.95,64395.0,64395.0,S
2023-08-02 15:26:00,CUMMINSIND,CUMMINSIND31AUG23P1900,111205,OPTSTK,600,1200,64.3,77160.0,77160.0,S
