ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype
2023-08-03 12:15:00,AUROPHARMA,AUROPHARMA31AUG23C840,42917,OPTSTK,1100,2200,39.1,86020.0,-86020.0,B
2023-08-03 12:15:00,METROPOLIS,METROPOLIS31AUG23C1380,135363,OPTSTK,400,1200,63.0,75600.0,-75600.0,B
2023-08-03 12:15:00,IBULHSGFIN,IBULHSGFIN31AUG23C152.5,128848,OPTSTK,5100,10200,8.1,82620.0,-82620.0,B
2023-08-03 12:15:00,PEL,PEL31AUG23C980,73886,OPTSTK,750,2250,40.0,90000.0,-90000.0,B
2023-08-03 12:15:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,10800,6.95,75060.0,-75060.0,B
2023-08-03 12:15:00,HINDPETRO,HINDPETRO31AUG23P272.5,128470,OPTSTK,2700,10800,8.2,88559.99999999999,-88559.99999999999,B
2023-08-03 12:15:00,OBEROIRLTY,OBEROIRLTY31AUG23P1100,137807,OPTSTK,700,2100,36.5,76650.0,-76650.0,B
2023-08-03 12:15:00,UPL,UPL31AUG23P605,178514,OPTSTK,1300,6500,15.0,97500.0,-97500.0,B
2023-08-03 12:15:00,CHOLAFIN,CHOLAFIN31AUG23P1070,105643,OPTSTK,1250,2500,32.0,80000.0,-80000.0,B
2023-08-03 12:16:00,AUROPHARMA,AUROPHARMA31AUG23C840,42917,OPTSTK,1100,2200,39.1,86020.0,86020.0,S
2023-08-03 12:16:00,METROPOLIS,METROPOLIS31AUG23C1380,135363,OPTSTK,400,1200,64.0,76800.0,76800.0,S
2023-08-03 12:16:00,IBULHSGFIN,IBULHSGFIN31AUG23C152.5,128848,OPTSTK,5100,10200,8.15,83130.0,83130.0,S
2023-08-03 12:16:00,PEL,PEL31AUG23C980,73886,OPTSTK,750,2250,40.0,90000.0,90000.0,S
2023-08-03 12:16:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,10800,6.95,75060.0,75060.0,S
2023-08-03 12:40:00,UPL,UPL31AUG23P605,178514,OPTSTK,1300,6500,16.95,110175.0,110175.0,S
2023-08-03 12:58:00,HINDPETRO,HINDPETRO31AUG23P272.5,128470,OPTSTK,2700,10800,9.15,98820.0,98820.0,S
2023-08-03 12:58:00,OBEROIRLTY,OBEROIRLTY31AUG23P1100,137807,OPTSTK,700,2100,40.45,84945.0,84945.0,S
2023-08-03 13:04:00,CHOLAFIN,CHOLAFIN31AUG23P1070,105643,OPTSTK,1250,2500,35.85,89625.0,89625.0,S
2023-08-03 13:15:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,10800,6.75,72900.0,-72900.0,B
2023-08-03 13:15:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,10800,8.05,86940.00000000001,-86940.00000000001,B
2023-08-03 13:15:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,2500,31.55,78875.0,-78875.0,B
2023-08-03 13:16:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,10800,7.0,75600.0,75600.0,S
2023-08-03 13:57:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,2500,34.1,85250.0,85250.0,S
2023-08-03 14:15:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,10800,8.3,89640.00000000001,-89640.00000000001,B
2023-08-03 14:15:00,OBEROIRLTY,OBEROIRLTY31AUG23P1080,137803,OPTSTK,700,2800,33.9,94920.0,-94920.0,B
2023-08-03 14:15:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,2500,31.95,79875.0,-79875.0,B
2023-08-03 14:48:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,2500,28.6,71500.0,71500.0,S
2023-08-03 15:15:00,METROPOLIS,METROPOLIS31AUG23C1420,135367,OPTSTK,400,1600,60.0,96000.0,-96000.0,B
2023-08-03 15:26:00,METROPOLIS,METROPOLIS31AUG23C1420,135367,OPTSTK,400,1600,56.5,90400.0,90400.0,S
2023-08-03 15:26:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,21600,7.4,159840.0,159840.0,S
2023-08-03 15:26:00,OBEROIRLTY,OBEROIRLTY31AUG23P1080,137803,OPTSTK,700,2800,25.15,70420.0,70420.0,S
